Station,lat,long
Ashburton,-43.912238,171.7552
Geraldine,-44.100181,171.2415
Kaiapoi,-43.384643,172.652
Masterton West,-40.95230652,175.64661442
Penrose,-36.90461,174.8156
Rangiora,-43.30754,172.5953
St Albans,-43.511257,172.6337
Takapuna,-36.78031,174.7489
Patumahoe,-37.2045,174.864
Richmond Central at Plunket,-41.3395984,173.18316353
Rotorua at Edmund Rd,-38.1358184814453,176.214202880859
Timaru Anzac Square,-44.404483,171.2497
Woolston,-43.557158,172.681276
Blenheim Bowling Club,-41.52663988,173.95608203
Wainuiomata,-41.26771143,174.95375106
St Johns,-39.63887215,176.85878736
SWDC Billah St Water Reservoir,-38.221617,175.85843
Waitomo District Council Yard - Queen St,-38.337796,175.165338
Masterton East,-40.95919824,175.6532107
"Whangarei, Robert Street",-35.7267287,174.3242521
Claudelands,-37.777543,175.287159
Wellington Central,-41.29361375,174.77193174
Waimate Kennedy,-44.732609,171.049835
Queen Street,-36.84743,174.7657
